label_idx,support,predictions,code,frequency,stratum,precision,recall,f1,auc
0,2198,1045,4019,22398,head,0.8392344497607656,0.3989990900818926,0.5408572309589885,0.884023123079528
1,1520,1040,4280,14931,head,0.8567307692307692,0.5861842105263158,0.69609375,0.927877715943402
2,1477,1326,42731,14479,head,0.8891402714932126,0.7982396750169262,0.8412415269354264,0.9540094581563776
3,1352,701,41401,13801,head,0.8901569186875892,0.46153846153846156,0.6078908913784705,0.9400166047329582
4,955,582,5849,9942,head,0.761168384879725,0.4638743455497382,0.5764476252439817,0.910998526507195
5,937,401,25000,9831,head,0.7306733167082294,0.3127001067235859,0.43796711509715996,0.9258457865409417
6,924,831,2724,9279,head,0.6967509025270758,0.6266233766233766,0.6598290598290599,0.9300798388281031
7,843,373,51881,8270,head,0.7292225201072386,0.32265717674970346,0.4473684210526316,0.8939465418636978
8,720,510,5990,7499,head,0.7411764705882353,0.525,0.6146341463414635,0.8953662217985383
9,681,640,53081,6738,head,0.7078125,0.6651982378854625,0.6858440575321726,0.9246274181553822
10,681,643,2720,6475,head,0.6220839813374806,0.5873715124816447,0.6042296072507553,0.9096593934422038
11,574,1,2859,5872,head,1.0,0.0017421602787456446,0.003478260869565217,0.6808658707860631
12,528,102,486,5356,head,0.5882352941176471,0.11363636363636363,0.19047619047619047,0.8974663640265074
13,540,588,2449,5281,head,0.7568027210884354,0.8240740740740741,0.7890070921985815,0.9792589179040792
14,548,200,2851,5081,head,0.77,0.28102189781021897,0.4117647058823529,0.8860396912127136
15,488,480,496,4917,head,0.6833333333333333,0.6721311475409836,0.6776859504132232,0.9267630358847879
16,494,122,2762,4812,head,0.6475409836065574,0.15991902834008098,0.2564935064935065,0.8299173337220842
17,434,348,5070,4252,head,0.7270114942528736,0.5829493087557603,0.6470588235294117,0.9262535337065405
18,393,265,99592,4086,head,0.7094339622641509,0.47837150127226463,0.5714285714285714,0.9409465539255711
19,413,162,V5861,4059,head,0.7098765432098766,0.2784503631961259,0.4,0.9377241628346741
20,392,351,0389,4003,head,0.5042735042735043,0.45153061224489793,0.4764468371467026,0.9124514331122723
21,374,209,311,3668,head,0.5119617224880383,0.28609625668449196,0.3670668953687822,0.9058523199527124
22,372,309,5859,3609,head,0.5728155339805825,0.47580645161290325,0.5198237885462554,0.9436488390826476
23,367,315,40390,3601,head,0.6031746031746031,0.5177111716621253,0.5571847507331378,0.9516102967875837
24,400,76,3051,3582,head,0.5921052631578947,0.1125,0.1890756302521008,0.8285795148247979
25,333,234,412,3582,head,0.5128205128205128,0.36036036036036034,0.42328042328042326,0.9038111264673765
26,339,211,41071,3502,head,0.7014218009478673,0.4365781710914454,0.5381818181818182,0.9260963898125748
27,320,37,2875,3353,head,0.7027027027027027,0.08125,0.14565826330532214,0.8541076173604961
28,343,240,2761,3334,head,0.6875,0.48104956268221577,0.5660377358490566,0.879295002038016
29,331,181,4240,3311,head,0.6906077348066298,0.3776435045317221,0.48828125000000006,0.8953322887475373
30,292,316,V4581,3246,head,0.6455696202531646,0.6986301369863014,0.6710526315789473,0.9574643408213384
31,330,227,5119,3157,head,0.5154185022026432,0.35454545454545455,0.42010771992818674,0.8829426474146972
32,309,0,V1582,2982,head,0.0,0.0,0.0,0.7984143768052256
33,281,265,V4582,2942,head,0.5962264150943396,0.5622775800711743,0.5787545787545786,0.9533190500399448
34,287,236,40391,2919,head,0.635593220338983,0.5226480836236934,0.5736137667304015,0.9612944637472339
35,272,507,4241,2913,head,0.4418145956607495,0.8235294117647058,0.5750962772785622,0.9526921606513676
36,281,219,V5867,2728,head,0.5251141552511416,0.4092526690391459,0.46,0.949044079528977
37,261,214,78552,2712,head,0.6355140186915887,0.5210727969348659,0.5726315789473684,0.9562604450462939
38,286,289,9971,2702,head,0.3944636678200692,0.3986013986013986,0.39652173913043476,0.883079545916313
39,267,415,V290,2697,head,0.6433734939759036,1.0,0.782991202346041,0.9901765913001869
40,270,52,42789,2671,head,0.5,0.0962962962962963,0.16149068322981366,0.8287672747374241
41,258,6,5845,2621,head,0.5,0.011627906976744186,0.022727272727272724,0.8982814522624873
42,244,304,32723,2504,head,0.680921052631579,0.8483606557377049,0.7554744525547447,0.9681752015152688
43,247,360,7742,2495,head,0.675,0.9838056680161943,0.800658978583196,0.994909179478683
44,257,197,5180,2468,head,0.3096446700507614,0.23735408560311283,0.2687224669603524,0.7902309271716398
45,263,158,2760,2466,head,0.740506329113924,0.4448669201520912,0.5558194774346793,0.9085418631045341
46,226,332,4168,2344,head,0.3795180722891566,0.5575221238938053,0.45161290322580644,0.9143370850276096
47,211,17,45829,2341,head,0.35294117647058826,0.02843601895734597,0.05263157894736841,0.832708999467916
48,235,202,2767,2325,head,0.6237623762376238,0.5361702127659574,0.5766590389016018,0.916432364189967
49,207,210,49390,2304,head,0.5761904761904761,0.5845410628019324,0.580335731414868,0.9379397368584436
